CarNum,Make,Model,Price,Color,Year,Miles,Drive,CityMpg,HwyMpg,Transmission
JTMDFREVXJJ208066,Toyota,RAV4,25598,Magnetic Gray Metallic,2018,26342,all wheel drive,22,28,automatic transmission
2T3P1RFV3LW084284,Toyota,RAV4,29949,Super White,2020,11760,all wheel drive,27,33,automatic transmission
2T3A1RFV9LC087519,Toyota,RAV4,34995,Ruby Flare Pearl,2020,7968,all wheel drive,27,33,automatic transmission
2T3P1RFV6LC078657,Toyota,RAV4,29000,Blueprint,2020,19585,203 horsepower,27,33,all wheel drive
JTMRK4DV8A5090789,Toyota,RAV4,13991,Barcelona Red Metallic,2010,133151,four wheel drive,19,26,automatic transmission
2T3W1RFV0LC052423,Toyota,RAV4,26999,Magnetic Gray Metallic,2020,28775,front wheel drive,27,35,automatic transmission
2T3DFREVXJW758904,Toyota,RAV4,29854,Blizzard Pearl,2018,22209,all wheel drive,22,28,automatic transmission
JTMJFREV8JJ208845,Toyota,RAV4,Not Listed,Super White,2018,26785,all wheel drive,22,28,automatic transmission
2T3RFREVXFW262854,Toyota,RAV4,19971,Classic Silver Metallic,2015,60681,all wheel drive,22,29,automatic transmission
JTMRFREV6ED072352,Toyota,RAV4,16595,Classic Silver Metallic,2014,98774,all wheel drive,22,29,automatic transmission
2T3YFREV0JW407386,Toyota,RAV4,19999,Black,2018,70545,front wheel drive,23,29,automatic transmission
2T3N1RFV2KC053793,Toyota,RAV4,31998,Midnight Black Metallic,2019,9300,all wheel drive,25,33,automatic transmission
JTMWFREV2JJ733633,Toyota,RAV4,19999,Super White,2018,21417,front wheel drive,23,30,automatic transmission
2T3BFREV2JW754837,Toyota,RAV4,19998,Black,2018,28747,all wheel drive,22,28,automatic transmission
JTMY1RFV6LD054665,Toyota,RAV4,32998,Blizzard Pearl,2020,1152,front wheel drive,27,35,automatic transmission
2T3Y1RFVXKW033481,Toyota,RAV4,32998,Ruby Flare Pearl,2019,6924,front wheel drive,26,35,automatic transmission
JTMZFREVXJJ728807,Toyota,RAV4,18998,Magnetic Gray Metallic,2018,35661,front wheel drive,23,30,automatic transmission
JTMZFREV3JJ196073,Toyota,RAV4,21998,Magnetic Gray Metallic,2018,14139,front wheel drive,23,30,automatic transmission
JTMDFREVXJJ176607,Toyota,RAV4,25990,Magnetic Gray Metallic,2018,16408,all wheel drive,22,28,automatic transmission
2T3DFREV9FW285567,Toyota,RAV4,19998,Barcelona Red Metallic,2015,56434,all wheel drive,22,29,automatic transmission
JTMBFREV1HJ154562,Toyota,RAV4,21950,Super White,2017,13645,all wheel drive,22,28,automatic transmission
2T3RFREV9JW754283,Toyota,RAV4,21998,Ruby Flare Pearl,2018,18028,all wheel drive,22,28,automatic transmission
2T3J1RFV5KW001880,Toyota,RAV4,29998,Blue Flame,2019,22009,all wheel drive,25,33,automatic transmission
2T3WFREV6HW396346,Toyota,RAV4,22998,Black,2017,23667,front wheel drive,23,30,automatic transmission
JTMBFREV6JJ193623,Toyota,RAV4,19998,Silver Sky Metallic,2018,25685,all wheel drive,22,28,automatic transmission
2T3P1RFV0LC093297,Toyota,RAV4,26299,Silver Sky Metallic,2020,23532,all wheel drive,27,33,automatic transmission
2T3P1RFV3KW075924,Toyota,RAV4,26630,Midnight Black Metallic,2019,22911,all wheel drive,25,33,automatic transmission
2T3P1RFV3LC079295,Toyota,RAV4,24990,Magnetic Gray Metallic,2020,31667,203 horsepower,27,33,all wheel drive
2T3ZFREV5JW446690,Toyota,RAV4,20050,Black,2018,31227,front wheel drive,23,30,automatic transmission
2T3W1RFV0LC051403,Toyota,RAV4,26499,Midnight Black Metallic,2020,28537,front wheel drive,27,35,automatic transmission
2T3J1RFV7LC100669,Toyota,RAV4,29990,Midnight Black Metallic,2020,37533,203 horsepower,25,33,all wheel drive
2T3WFREV8EW109651,Toyota,RAV4,17450,Blue Crush Metallic,2014,39209,front wheel drive,24,31,automatic transmission
2T3W1RFV1LC054763,Toyota,RAV4,26499,Super White,2020,28673,front wheel drive,27,35,automatic transmission
JTMWFREV7JD111852,Toyota,RAV4,19998,Magnetic Gray Metallic,2018,54109,front wheel drive,23,30,automatic transmission
JTMBFREVXJJ245190,Toyota,RAV4,17998,Electric Storm Blue,2018,50921,all wheel drive,22,28,automatic transmission
